관리번호,정류장명,경도,위도
250001794,창촌1리,127.64702,37.78957
250001879,기와집골,127.63417,37.77607
250001880,장학1리,127.76813,37.89842
250001881,장학1리,127.76799,37.89851
250001882,춘천역육교앞,127.71608,37.88563
250001883,호반요양병원,127.7076,37.85834
250001884,호반요양병원,127.70753,37.85767
250001885,인성병원,127.72659,37.88109
250001886,소양로우체국,127.72618,37.88108
250001887,인람종점,127.65946,37.98567
250001888,인람리,127.65958,37.99086
250001889,의암치안센터,127.66999,37.85032
250001890,의암치안센터,127.67014,37.85037
250001891,송암스포츠타운입구,127.69323,37.84544
250001892,송암스포츠타운입구,127.69232,37.84577
250001893,의암리본마을,127.67943,37.83186
250001894,의암리본마을,127.67937,37.83181
250001895,의암류인석유적지,127.57221,37.74352
250001896,의암류인석유적지,127.5721,37.74341
250001897,의암댐,127.67719,37.83792
250001898,의암댐,127.6771,37.83776
250001899,의암공원,127.6696,37.82721
250001900,의암,127.68265,37.82685
250001901,의암,127.68273,37.8267
250001902,퇴계동입구,127.72053,37.86153
250001903,퇴계동입구,127.71969,37.86195
250001904,강원테크노파크,127.7514,37.93048
250001905,율문3리,127.76643,37.92984
250001906,강원테크노파크,127.75169,37.93053
250001907,율문1리,127.74383,37.92571
250001908,율문1리,127.74357,37.92584
250001909,천전2리,127.77003,37.93033
250001910,천전2리,127.76937,37.93046
250001911,육림랜드,127.72157,37.91618
250001912,육림공원,127.72119,37.91756
250001913,육림고개,127.73044,37.87721
250001914,육림고개,127.73071,37.87717
250001916,유포2리종점,127.77667,37.95236
250001917,유포리,127.77656,37.94932
250001918,유포리회관,127.77662,37.94913
250001919,유포3리입구,127.7517,37.93604
250001920,유포3리입구,127.7515,37.93507
250001921,유승한내들,127.73105,37.86189
250001922,유승한내들,127.73137,37.86192
250001923,윗샘밭종점,127.79306,37.93267
250001924,윗샘밭종점,127.79216,37.93244
250001925,위도입구,127.72122,37.92441
250001926,위도입구,127.721,37.92494
250001927,월송3리종점,127.67551,37.91704
250001928,월송2리입구,127.69654,37.91827
250001929,월송2리,127.68949,37.92294
250001930,월송1리,127.68734,37.93014
250001931,월곡리종점,127.80815,37.92262
250001932,월곡리,127.80165,37.91858
250001933,월곡리,127.80155,37.91855
250001934,원평리,127.63442,38.00363
250001935,샛강쉼터,127.6275,38.00193
250001936,원평마을,127.63334,38.00274
250001937,원평계곡,127.6444,37.99525
250001938,원평계곡,127.64426,37.99489
250001939,학곡리,127.75999,37.82565
250001940,원창리입구,127.76041,37.82608
250001941,원창고개,127.76878,37.81006
250001942,원창고개,127.75922,37.81594
250001943,원창고개,127.76861,37.80995
250001944,원창고개,127.75921,37.81573
250001945,원창5리,127.76445,37.7795
250001946,원창5리,127.76449,37.78081
250001947,원창4리,127.77007,37.80956
250001948,원창3리,127.76418,37.78941
250001949,원창3리,127.76394,37.78935
250001950,원창2리,127.7736,37.80338
250001951,폴리텍대학,127.7737,37.79736
250001952,폴리텍대학,127.77401,37.79759
250001953,원창2리,127.77365,37.80374
250001954,원창1리,127.74999,37.78843
250001955,원창1리,127.74998,37.78833
250001956,봉명리,127.7823,37.76643
250001957,원무골,127.76703,37.76659
250001958,웃골1리,127.69392,37.95099
250001959,웃골1리,127.69454,37.95044
250001960,우석초교입구,127.75043,37.8663
250001961,우석초교입구,127.75061,37.86621
250001962,우석초교,127.75018,37.865
250001963,우석초교,127.751,37.86474
250001964,그랜드아파트,127.75605,37.86696
250001965,용산치안센터,127.67122,37.96817
250001966,용산리종점,127.70724,37.94622
250001967,용산3리,127.70734,37.94581
250001968,용산2리취수장,127.70055,37.95014
250001969,용산2리취수장,127.70098,37.94955
250001970,한강수력본부,127.67893,37.96252
250001971,한강수력본부,127.67859,37.96261
250001972,용산1리종점,127.71715,37.94838
250001973,용산1리,127.71089,37.94281
250001974,용산1리,127.71066,37.94273
250001975,왕터연수원,127.56047,37.73122
250001976,왕터연수원,127.56059,37.7312
250001978,올미종점,127.7374,37.92627
250001979,올미입구,127.73655,37.92219
250001980,올미입구,127.7365,37.92233
250001981,올미,127.73852,37.92136
250001982,올미,127.73839,37.92141
250001983,전자랜드/시외버스부근,127.72134,37.86578
250001984,풍물시장,127.71739,37.86734
250001985,럭키/시외버스부근,127.71821,37.86657
250001986,방송통신대입구,127.72014,37.87329
250001987,방송통신대입구,127.72116,37.87326
250001988,온의금호1차,127.71614,37.86888
250001989,온의금호1차,127.71582,37.86872
250001990,옥광산입구,127.78278,37.91645
250001991,지내1리(옥광산입구),127.78225,37.91617
250001992,오항리종점,127.90448,37.97759
250001993,오탄리종점,127.58176,38.05261
250001994,오탄리,127.62175,38.0429
250001995,오탄1리,127.62197,38.04268
250001996,오탄3리종점,127.601,38.04171
250001997,오탄2리,127.59509,38.05404
250001998,오탄2리,127.59534,38.05417
250001999,오탄1리,127.61601,38.04708
250002000,오탄1리,127.61601,38.04686
250002001,오음리입구,127.7848,37.9407
250002002,오음리입구,127.7847,37.9408
250002003,오월유원지,127.64191,37.98006
250002004,오월유원지,127.64218,37.98015
250002005,오월리종점,127.62519,37.9663
250002006,오월리입구,127.65544,37.97863
250002007,오월리입구,127.65542,37.97853
250002008,오월교입구,127.64466,37.98354
250002009,오봉마을,127.71552,37.78736
250002010,오봉마을,127.71489,37.78688
250002011,오동초등학교,127.75615,37.95077
250002012,오동초등학교,127.75566,37.95061
250002015,여성가족연구원,127.74853,37.85613
250002016,여성가족연구원,127.74872,37.85577
250002017,퇴계주공6단지,127.743,37.85124
250002018,현진에버빌1차,127.74735,37.85034
250002020,상상마당입구,127.70108,37.87179
250002021,상상마당입구,127.70168,37.87141
250002022,양통종점,127.73779,38.00189
250002023,양우아파트,127.73052,37.86831
250002024,양우아파트,127.73154,37.86796
250002025,창촌3리(양단이),127.63429,37.76675
250002026,창촌3리(양단이),127.63364,37.7664
250002027,약사아파트,127.72306,37.87212
250002028,약사아파트,127.72362,37.87205
250002029,명동입구,127.72668,37.87971
250002030,약사리고개입구,127.728,37.8739
250002031,약사리고개입구,127.728,37.8739
250002032,현암리,127.68983,37.89185
250002033,애니메이션박물관,127.68997,37.89259
250002034,안보2리종점,127.57659,37.84978
250002035,안보2리입구,127.56777,37.84289
250002036,안보2리입구,127.56753,37.84263
250002037,탑동마을,127.57698,37.83785
250002038,아침못종점,127.76327,37.95009
250002039,쓰레기매립장,127.68775,37.79753
250002040,혈동2리,127.68779,37.79703
250002041,신포중학교,127.63991,38.02611
250002042,신포리,127.63411,38.01657
250002043,신포리,127.63403,38.01666
250002044,신포1리,127.64,38.02516
250002045,신촌1리,127.77998,37.85409
250002046,신촌3리,127.75825,37.84892
250002047,신촌1리,127.77069,37.85009
250002048,신촌1리,127.77616,37.8538
250002049,신촌1리,127.77606,37.85369
250002050,신촌1리,127.77063,37.85016
250001795,창촌1리,127.64689,37.78945
250001796,청구/진흥아파트,127.75254,37.86895
250001797,청구/진흥아파트,127.75274,37.8691
250001798,현지사,127.64553,38.04482
250001799,현지사,127.64509,38.0452
250001800,지촌3리,127.64075,38.03368
250001801,지촌3리,127.64059,38.03365
250001802,지촌2리,127.64283,38.05061
250001803,지촌2리,127.64272,38.05049
250001804,농협보안지점,127.75193,37.87721
250001805,한국국토정보공사,127.7511,37.87803
250001806,지암초교,127.60766,37.98085
250001807,지암초교,127.60775,37.98079
250001808,지암산천마을,127.609,37.98174
250001809,지암산천마을,127.60916,37.98194
250001810,지암리종점,127.59526,37.97533
250001811,지암리,127.62237,37.97935
250001812,지암리,127.63584,37.97705
250001813,지암리,127.63574,37.97718
250001814,지암리,127.6222,37.97928
250001815,지내리,127.7308,37.95017
250001816,지내리,127.73064,37.9501
250001817,지내3리,127.7308,37.94821
250001818,지내3리,127.73063,37.94822
250001819,지내2리종점,127.72107,37.9598
250001820,지내2리,127.72318,37.95769
250001821,지내2리,127.78467,37.9172
250001822,지내2리,127.78461,37.91725
250001823,지내1리종점,127.73283,37.9671
250001824,지내1리마을회관,127.73038,37.96167
250001825,지내1리마을회관,127.73034,37.96199
250001826,지내1리,127.73072,37.95776
250001827,지내보건소,127.73036,37.95788
250001828,지내1리,127.78176,37.91172
250001829,증3리,127.72608,37.82799
250001830,증3리,127.72411,37.82637
250001831,증3리,127.72408,37.82607
250001832,증3리,127.72726,37.831
250001833,증2리,127.70964,37.81127
250001834,증2리,127.70987,37.80756
250001835,증2리,127.71193,37.8053
250001836,증2리,127.70994,37.8026
250001837,증2리,127.71,37.80254
250001838,증2리,127.7115,37.80301
250001839,증2리,127.71204,37.80539
250001840,증2리,127.70999,37.80759
250001841,증2리,127.70976,37.81137
250001842,증1리,127.70913,37.81427
250001843,중앙하이츠1차,127.73726,37.85456
250001844,중앙하이츠,127.735,37.8558
250001845,중앙하이츠,127.735,37.8559
250001846,중앙하이츠1차,127.73673,37.85445
250001847,약사명동주민센터,127.7242,37.87749
250001848,중앙시장/중앙초교,127.72499,37.87835
250001849,중앙시장,127.72548,37.8785
250001850,중도선착장,127.69696,37.87193
250001851,중도선착장,127.69724,37.87178
250001852,중도배터,127.7172,37.8881
250001853,일성트루엘아파트,127.74849,37.87749
250001854,KBS방송국,127.7228,37.86824
250001855,KBS방송국,127.72272,37.86765
250001856,조양4리,127.77329,37.75984
250001857,조양4리,127.78372,37.75584
250001858,조양4리,127.78467,37.75576
250001859,신세계주유소,127.77867,37.75766
250001860,조양3리,127.83153,37.74393
250001861,조양1리,127.81144,37.75602
250001862,조각공원,127.71386,37.87307
250001863,정족2리입구,127.7293,37.83387
250001864,정족2리입구,127.72904,37.83375
250001865,정족2리입구,127.72937,37.83393
250001866,정족2리입구,127.72879,37.8337
250001867,정족2리,127.73444,37.83161
250001868,정족2리,127.73447,37.83153
250001869,정족1리입구,127.7315,37.84281
250001870,정족1리입구,127.7314,37.8429
250001871,사천왕사,127.67396,37.83221
250001872,사천왕사,127.67384,37.83233
250001873,정부합동청사,127.74927,37.8889
250001874,정부합동청사,127.74957,37.88843
250001875,정법사,127.70706,37.86151
250001876,정법사,127.70694,37.86142
250001877,재취골,127.73145,37.78923
250001878,기와집골,127.63417,37.77614
250001446,방곡2리종점,127.62927,37.78825
250001447,방곡1리,127.64234,37.79496
250001448,방곡1리,127.63958,37.79771
250001449,방곡1리,127.63871,37.80042
250001450,방곡1리,127.63856,37.80055
250001451,방곡1리,127.63981,37.79751
250001452,방곡1리,127.64222,37.79493
250001457,발산치안센터,127.62421,37.73898
250001458,발산2리,127.62433,37.73904
250001459,발산리종점,127.76653,37.96278
250001460,발산2리,127.76118,37.9557
250001461,발산2리,127.76292,37.9576
250001462,발산2리,127.76571,37.96057
250001463,발산2리,127.76567,37.9605
250001464,발산2리,127.76229,37.96169
250001465,발산2리,127.63121,37.73884
250001466,발산2리,127.63129,37.73875
250001467,발산1리,127.75559,37.95991
250001468,발산1리,127.74721,37.95119
250001469,발산1리,127.61077,37.73517
250001470,발산1리,127.61095,37.73504
250001471,발산,127.62399,37.74352
250001472,발산,127.62411,37.74359
250001473,광판2리,127.71021,37.74579
250001474,반이동,127.71003,37.74516
250001481,가정초교,127.57307,37.74014
250001482,가정1리회관앞,127.57241,37.7413
250001483,박암리,127.5439,37.7253
250026615,박암리,127.54382,37.72528
250001484,박암리,127.53776,37.72373
250001485,박암리,127.5387,37.72324
250001486,박암리,127.544,37.7252
250026616,박암리,127.54401,37.7252
250001487,밀알재활원,127.70221,37.76994
250001488,밀알재활원,127.70226,37.76988
250001489,동부새마을금고,127.73406,37.87352
250001490,미려골,127.73415,37.87333
250001491,문화주택,127.75169,37.88933
250001492,문화예술회관,127.7269,37.873
250001493,문화예술회관,127.72712,37.87294
250001494,논골입구,127.76382,37.77005
250001495,모래재,127.76566,37.76754
250001496,명진학교,127.73468,37.89998
250001497,덕두2리종점,127.62953,37.88325
250001498,명동입구,127.72627,37.87912
250001499,멸공훈련장,127.71029,37.85446
250001500,멸공훈련장,127.71015,37.85453
250001501,면허시험장입구,127.75178,37.946
250001502,면허시험장입구,127.75158,37.9455
250001503,만천2리,127.76523,37.87969
250001504,만천2리,127.76572,37.87964
250001505,동광오거리,127.74947,37.88526
250001506,동광오거리,127.74947,37.8847
250001507,만천리종점,127.78548,37.87603
250001508,동면만천농협,127.761,37.8817
250001509,동면만천농협,127.76073,37.88192
250001510,만천3리회관,127.7782,37.875
250001511,만천3리회관,127.77847,37.87508
250001512,만천초교,127.75814,37.88269
250001513,만천3리,127.77062,37.87743
250001514,만천3리,127.77045,37.87781
250001515,만천초교,127.75862,37.88264
250001516,만천1리,127.75593,37.8852
250001517,만천1리,127.75561,37.88547
250001518,마평,127.62754,38.00279
250001519,마삼래,127.69218,37.86527
250001520,마삼래,127.69244,37.86569
250001521,가압펌프장,127.71512,37.8538
250001522,가압펌프장,127.71454,37.8551
250001523,삼성동부아파트,127.73082,37.89953
250001524,롯데인벤스,127.73087,37.89971
250001525,호반베르디움,127.75938,37.85713
250001526,거두리부영아파트,127.75154,37.85561
250001527,로데오거리,127.75054,37.85424
250001528,뜨란채아파트,127.74713,37.85032
250001529,삼악산,127.66078,37.82486
250001530,삼악산,127.66043,37.82491
250001532,두미르아파트,127.72821,37.90202
250001533,두미르아파트,127.72739,37.90265
250001534,춘천동원학교,127.78872,37.93018
250001535,춘천동원학교,127.78854,37.93026
250001536,동산중학교,127.7915,37.75205
250001537,동산중학교,127.79126,37.75226
250001538,조양2리,127.79605,37.73766
250001539,조양2리,127.79613,37.7376
250001540,동산아파트,127.74211,37.88921
250001541,소방서,127.7425,37.88913
250001542,동산면사무소,127.79589,37.75394
250001543,동산면사무소,127.79587,37.7541
250001544,동부시장,127.73345,37.87632
250001545,동부시장,127.73428,37.87659
250001546,동보아파트,127.74215,37.86179
250001547,동보빌리지,127.74108,37.88372
250001548,동보빌리지,127.74134,37.88364
250001549,감정1리,127.78037,37.90403
250001550,동면치안센터,127.78038,37.90414
250001551,동면지내리,127.78244,37.91375
250001552,동면지내리,127.78227,37.91363
250001553,동면저수지,127.7584,37.89365
250001554,동면저수지,127.75823,37.89373
250001555,동면사무소,127.78151,37.91007
250001556,동면사무소,127.78136,37.90997
250001557,동면복지회관,127.78201,37.91202
250001558,동내초교,127.76599,37.85041
250001559,동내초교,127.76572,37.85042
250001560,동내면사무소,127.76159,37.848
250001561,동내면사무소,127.76141,37.84812
250001562,동광주유소,127.75171,37.88988
250001563,도민일보,127.74485,37.89051
250001564,도민일보,127.74304,37.89022
250001565,덕두원3리,127.67006,37.82722
250001566,덕두원2리,127.6593,37.86006
250001567,덕두원2리,127.65741,37.86336
250001568,덕두원2리,127.65556,37.86587
250001569,덕두원2리,127.65301,37.8687
250001570,덕두원2리,127.65026,37.86996
250001571,덕두원2리,127.64749,37.87119
250001572,덕두원2리,127.64431,37.87263
250001573,덕두원2리,127.6394,37.87676
250001574,덕두원2리,127.63767,37.878
250001575,덕두원2리,127.63296,37.88061
250001576,덕두원2리,127.63309,37.88041
250001577,덕두원2리,127.63765,37.87818
250001578,덕두원2리,127.63923,37.87668
250001579,덕두원2리,127.6442,37.8726
250001580,덕두원2리,127.64734,37.87114
250001581,덕두원2리,127.65021,37.87009
250001582,덕두원2리,127.65311,37.86856
250001583,덕두원2리,127.65555,37.86598
250001584,덕두원2리,127.65725,37.86348
250001585,덕두원2리,127.65914,37.86017
250001586,덕두원1리,127.66902,37.85264
250001587,덕두원1리,127.66653,37.85454
250001588,덕두원1리,127.66176,37.85376
250001589,덕두원1리,127.66185,37.85363
250001590,덕두원1리,127.66647,37.85449
250001591,덕두원1리,127.66893,37.85259
250001592,덕두원1리,127.67146,37.84727
250001593,덕두원1리,127.67156,37.84735
250001594,대원사,127.68556,37.84511
250001595,대원사,127.68555,37.84521
250001596,대룡중학교,127.74366,37.84817
250001597,대룡산종점,127.78173,37.83218
250001598,대룡산종점,127.78171,37.83228
250001599,사암리,127.76428,37.84125
250001600,대룡산쉼터,127.76457,37.84089
250001601,당림초교,127.60862,37.83839
250001602,당림1리,127.60852,37.83832
250001603,당림5반종점,127.60177,37.85847
250001604,당림3반종점,127.61864,37.86233
250001605,당림3거리,127.6098,37.84129
250001606,당림3거리,127.6097,37.84116
250001607,당림2리,127.61541,37.83079
250001608,당림2리,127.61526,37.83037
250001609,당림1리,127.614,37.84874
250001610,당림1리,127.61403,37.84865
250001611,당림1리,127.60273,37.83523
250001612,농업기술원,127.73559,37.90057
250001613,농촌공사춘천지소,127.73965,37.90923
250001614,농촌공사춘천지소,127.73935,37.90973
250001615,도재활병원삼거리,127.73772,37.90313
250001616,논골입구,127.76481,37.77692
250001617,논골입구,127.76462,37.77687
250001618,국민연금공단 춘천회관,127.731,37.86393
250001619,국민연금공단 춘천회관,127.73122,37.86385
250001620,남춘천초교,127.72187,37.86041
250001621,남춘천중학교,127.72139,37.86059
250001622,(구)남춘천역,127.7295,37.8623
250026585,(구)남춘천역,127.729,37.8617
250001623,(구)남춘천역,127.7295,37.8619
250001624,남산면사무소,127.64606,37.79149
250001625,남산면사무소,127.64599,37.79138
250001626,남부시장,127.726,37.87063
250001627,남부시장,127.72748,37.87011
250001628,남면사무소,127.6011,37.73167
250001629,발산1리,127.60058,37.73124
250001630,김유정문학촌,127.71677,37.81936
250001631,김유정문학촌,127.7167,37.81942
250001632,금산3리,127.68604,37.89559
250001633,금산3리,127.68621,37.8955
250001634,금산2리,127.69688,37.90197
250001635,금산2리,127.69716,37.90201
250001636,금산3리,127.69073,37.89627
250001637,강원정보문화진흥원,127.6906,37.89604
250001638,과수원마을입구,127.70376,37.91126
250001639,금병초교,127.71089,37.81467
250001640,근화초교,127.72462,37.88816
250001641,춘천역육교앞,127.71447,37.8833
250001642,근화사거리,127.71487,37.87522
250001643,청와아파트,127.71345,37.88146
250001644,그랜드아파트,127.7563,37.86683
250001646,군자공원묘지,127.74291,37.75663
250001647,군자3리,127.73297,37.75206
250001648,군자3리,127.73296,37.75196
250001649,군자3리,127.73849,37.75439
250001650,군자공원묘지,127.74292,37.7565
250001651,군자1리,127.72208,37.74859
250001652,군자1리,127.72219,37.74853
250001653,국립춘천병원,127.76431,37.77074
250001654,국립춘천병원,127.76413,37.77084
250001655,구곡폭포종점,127.61643,37.79722
250001656,구곡폭포입구,127.63638,37.81012
250001657,구곡폭포입구,127.63626,37.80991
250001658,교동초교입구,127.73812,37.8778
250001659,교동초교입구,127.73766,37.87737
250001660,광판초교,127.70109,37.73031
250001661,광판초교,127.70079,37.73011
250001662,광판중학교입구,127.69863,37.72608
250001663,광판중학교입구,127.69877,37.72607
250001664,광판중학교,127.69957,37.72263
250001665,광판중학교,127.69945,37.7226
250001666,광판2리,127.71288,37.74434
250001667,광판2리,127.71022,37.74294
250001668,광판2리,127.70906,37.73997
250001669,광판2리,127.71305,37.74427
250001670,광판2리,127.70895,37.74003
250001671,광판1리,127.70654,37.73279
250001672,광판,127.70678,37.73299
250001673,신포리,127.62701,38.01469
250001674,관천리종점,127.51239,37.72331
250001675,관천리,127.52201,37.72944
250001676,관천리,127.5221,37.72932
250001677,춘천청소년수련관,127.74135,37.87404
250001678,춘천청소년수련관,127.74098,37.87437
250001679,과선교,127.734,37.8583
250001680,과선교,127.7362,37.8569
250001681,과선교,127.7351,37.8574
250026588,중앙하이츠2차,127.73525,37.85723
250001682,과선교,127.7341,37.8583
250026587,퇴계주공2차,127.73464,37.85789
250001683,공지천사거리,127.71474,37.87421
250001684,공지사거리,127.7146,37.87431
250001685,신성교회,127.74676,37.88508
250001686,농협주유소,127.74578,37.88621
250001687,곡골,127.85333,37.85901
250001688,곡골,127.8531,37.85901
250001689,고탄입구,127.67705,37.96446
250001690,고탄입구,127.67634,37.96437
250001691,구고탄농협,127.70443,37.98815
250001692,고탄,127.7206,37.9912
250001693,고탄,127.7202,37.99096
250001694,고탄,127.70512,37.98817
250001695,고창말,127.73428,37.84043
250001696,고창말,127.73442,37.84044
250001697,고은리종점,127.78867,37.84553
250001698,고은리입구,127.77281,37.84982
250001699,고은리입구,127.7745,37.84905
250001700,고은리,127.78508,37.84576
250001701,고은리,127.78515,37.84587
250001702,고은2리,127.77766,37.84856
250001703,고은2리,127.77768,37.84863
250001704,고은1리,127.78208,37.8466
250001705,고은1리,127.78205,37.84667
250001706,고성2리,127.72459,37.99267
250001707,고성2리,127.73653,37.99944
250001708,고성2리,127.73516,37.99471
250002051,신연강,127.67345,37.8614
250002052,신연강,127.67363,37.86173
250002053,신사우동,127.72759,37.93879
250002054,신사우동,127.72743,37.9389
250002055,신북읍사무소,127.74677,37.92515
250002056,신북읍사무소,127.7469,37.92523
250002057,신매대교,127.71147,37.92197
250002058,신매대교,127.71137,37.92209
250002059,신매3리,127.71156,37.91819
250002060,신매3리,127.71089,37.91602
250002061,신매3리,127.71104,37.91592
250002062,신매3리,127.71172,37.91828
250002063,신매1리,127.7027,37.93588
250002064,신매1리,127.70284,37.93584
250002065,신동초교,127.722,37.92976
250002066,신동초교,127.72175,37.92992
250002067,신동삼거리,127.72232,37.93196
250002068,신동초등학교,127.72203,37.93187
250002069,신동,127.72165,37.92701
250002070,신동보급대,127.72141,37.92777
250002071,신동배터,127.7157,37.93733
250002072,신동배터,127.7162,37.93666
250002073,김유정역,127.71479,37.8172
250002074,김유정역,127.71504,37.81716
250002075,삼포유원지입구,127.70886,37.79923
250002076,명동입구,127.72912,37.87874
